"Fly ID"	"Light Intensity(uW/mm2)"	"Wind status"	"Satiety"	"Genotype"	"Status"	"weighted_TSALE_P10"
1	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.290836653386454
2	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.138114209827357
3	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.144754316069057
4	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.431606905710491
5	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.168658698539177
6	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.965471447543161
7	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.224435590969456
8	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.0903054448871182
9	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.270916334661355
10	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.367861885790173
11	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.115537848605578
12	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.177954847277556
13	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.253652058432935
14	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.00265604249667995
15	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.0358565737051793
16	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.386454183266932
17	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.590969455511288
18	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.270916334661355
19	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.219123505976096
20	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.00398406374501992
21	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.925630810092961
22	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.219123505976096
23	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.837981407702523
24	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.309428950863214
25	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.111553784860558
26	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.575033200531209
27	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.126162018592297
28	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.237715803452855
29	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.154050464807437
30	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.0385126162018592
31	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.715803452855246
32	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.0345285524568393
33	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.0597609561752988
34	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.312084993359894
35	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.160690571049137
36	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.285524568393094
37	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.359893758300133
38	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.213811420982736
39	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
40	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
41	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.397078353253652
42	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.391766268260292
43	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.359893758300133
44	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.047808764940239
45	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0
46	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.277556440903054
47	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.272244355909695
48	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.389110225763612
49	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.328021248339973
50	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.317397078353254
51	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.48472775564409
52	"14uW"	"NoAir"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.264276228419655
1	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.381868131868132
2	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
3	"14uW"	"Air"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.353021978021978
