"Fly ID"	"Light Intensity(uW/mm2)"	"Wind status"	"Satiety"	"Genotype"	"Status"	"weighted_TSALE_P10"
1	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.996438112199466
2	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.216384683882458
3	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0614425645592164
4	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.759572573463936
5	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.0863757791629564
6	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
7	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.229741763134461
8	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
9	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.288512911843277
10	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.0382902938557435
11	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
12	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.272484416740873
13	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.177203918076581
14	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.36420302760463
15	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0578806767586821
16	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
17	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.202137132680321
18	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.0934995547640249
19	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.205699020480855
20	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.353517364203028
21	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.344612644701692
22	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.385574354407836
23	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.239536954585931
24	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.732858414959929
25	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.467497773820125
26	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
33	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.185218165627783
34	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	NA
35	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.478183437221728
36	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.983081032947462
37	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
38	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	1
39	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.432769367764915
40	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.118432769367765
41	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	-0.0382902938557435
42	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.446126447016919
43	"14uW"	"NoWind"	"fed"	"w1118-UAS-CsChrimson"	"Parent"	0.287622439893143
