"Fly ID"	"Light Intensity(uW/mm2)"	"Wind status"	"Satiety"	"Genotype"	"Status"	"weighted_TSALE_P10"
15	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
16	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.828146143437077
17	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.423545331529093
18	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
19	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
20	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.837618403247632
21	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
22	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.993234100135318
23	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
24	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
25	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
26	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
27	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
28	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.0216508795669824
29	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
30	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.623815967523681
31	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
32	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.930987821380244
33	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
34	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
35	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
36	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.600811907983762
37	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.388362652232747
38	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.449255751014885
39	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.380243572395129
40	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.15020297699594
41	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.10148849797023
42	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.293640054127199
43	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.179972936400541
44	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.296346414073072
45	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.640054127198917
46	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.119079837618403
47	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
48	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.0663058186738836
49	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.929634641407307
50	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.0784844384303112
51	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.499323410013532
52	"14uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.935047361299053
15	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
16	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.0536912751677852
17	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
18	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
19	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
20	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
21	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
22	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
23	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
24	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
25	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.363758389261745
26	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
27	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
28	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
29	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
30	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.204026845637584
31	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
32	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
33	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
34	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
35	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
36	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
37	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
38	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.324832214765101
39	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.363758389261745
40	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.6
41	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
42	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.571812080536913
43	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.267114093959732
44	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
45	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
46	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
47	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
48	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	1
49	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
50	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.991946308724832
51	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
52	"14uW"	"Air"	"fed"	"w1118-Or67d-Gal4"	"Parent"	NA
15	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	0.376640419947507
16	"28uW"	"NoAir"	"fed"	"w1118-Or67d-Gal4"	"Parent"	-0.958005249343832
